id,room,area,price,houseage,living,condition,floor,layout,allfloor,kind_name,regionname,sectionname,fulladdress,address_img_title,unit,address,lat,lng,loc_type,min_station,min_station_name,min_park,min_park_name
4740010,0,7,11000,0,"depart,advstore,market,park,school,hospital","tv,icebox,cold,washer,hotwater,four,broadband,landpost,isleastrent,girl,balcony_0,bed,wardrobe,bookTable,chair",5,,5,獨立套房,台北市,大安區,大安路一段19巷大安優質套房,大安優質套房,元/月,大安區大安路一段19巷,25.0444433,121.5470696,GEOMETRIC_CENTER,363.918229,忠孝復興,264.1195245,<U+7460>公公園
4683028,4,62,85000,0,"advstore,market,night,park,school,hospital","tv,icebox,cold,washer,hotwater,naturalgas,cartplace,cook,balcony_1,wardrobe",8,4房2廳2衛,12,整層住家,台北市,士林區,基河路近中正路˙捷運士林˙3+1書優質住家,近中正路˙捷運士林˙3+1書優質住家,元/月,士林區基河路,25.0910494,121.5217598,GEOMETRIC_CENTER,526.3624049,士林,156.2523708,承德公園
4673532,0,5,5000,0,,"landpost,balcony_1",0,類型：平面式,0,車位,台北市,信義區,光復南路W110大樓24H管理坡平車位,W110大樓24H管理坡平車位,元/月,信義區光復南路567號,25.0309003,121.5575923,ROOFTOP,581.0042139,信義安和,225.9464808,台北好好看(編號098-1-005)
4711521,3,24,25000,0,,"icebox,hotwater,naturalgas,landpost,cook,balcony_1",2,3房2廳2衛,5,整層住家,台北市,中正區,信義路二段79巷信義路東門市場二樓公寓,信義路東門市場二樓公寓,元/月,中正區信義路二段79巷12弄4號,25.034545,121.526775,ROOFTOP,213.491446,東門,204.2908442,信愛公園
4673534,3,33.7,37000,0,"advstore,night,park,school","tv,icebox,cold,hotwater,lift,cook,balcony_1",6,3房2廳2衛,12,整層住家,台北市,大安區,光復南路完美裝潢超優地段超高CP,完美裝潢超優地段超高CP,元/月,大安區光復南路,25.037495,121.5575096,GEOMETRIC_CENTER,432.461345,國父紀念館,275.9176723,光信公園
4711522,0,12,22500,0,"depart,advstore,market,night,park,school,hospital","tv,icebox,cold,washer,hotwater,four,broadband,naturalgas,landpost,trabus,balcony_1,lease,bed,wardrobe,sofa,bookTable,chair",1,,4,分租套房,台北市,信義區,永吉路30巷短租★市府站五分鐘一房一廳大陽台雙人套房,短租★市府站五分鐘一房一廳大陽台雙人套房,元/月,信義區永吉路30巷,25.0431519,121.5687502,GEOMETRIC_CENTER,382.0700475,市政府,71.59355528,厚生廣場
4683032,0,7,11000,26,"depart,advstore,market,night,park,school,hospital","tv,icebox,cold,washer,hotwater,four,broadband,lift,landpost,trabus,balcony_0,bed,wardrobe,bookTable,chair",8,,8,分租套房,台北市,大安區,延吉街東區忠孝東路四段延吉街口忠孝商圈,東區忠孝東路四段延吉街口忠孝商圈,元/月,大安區延吉街,25.0387287,121.555181,GEOMETRIC_CENTER,396.265228,國父紀念館,358.2204424,光信公園
4692533,0,12,20000,0,"depart,advstore,market,night,park,school,hospital","tv,cold,washer,hotwater,naturalgas,pet,cook,balcony_1,bed,wardrobe,sofa,bookTable,chair",3,,7,獨立套房,台北市,中山區,南京東路一段一房一廳陽台~近林森北~長安東~松江南京,一房一廳陽台~近林森北~長安東~松江南京,元/月,中山區南京東路一段,25.0521951,121.5253519,GEOMETRIC_CENTER,505.2423908,中山,54.68191272,林森公園
4692535,3,28,38000,0,,"tv,icebox,cold,washer,hotwater,cook,balcony_1,bed,wardrobe,sofa,bookTable,chair",7,3房2廳2衛,7,整層住家,台北市,中山區,長安東路二段熱銷低調奢華三房兩廳,熱銷低調奢華三房兩廳,元/月,中山區長安東路二段31號,25.048623,121.5311785,ROOFTOP,483.4126146,松江南京,144.7523918,興亞公園
4683041,3,62.2,79950,0,"depart,advstore,market,night,park,school,hospital","tv,icebox,cold,washer,hotwater,lift,naturalgas,cartplace,cook,balcony_1,bed,wardrobe,sofa,bookTable,chair",12,3房2廳2衛,16,整層住家,台北市,中山區,新生北路二段近林森北路。都會區靜巷。格局方正3+1書,近林森北路。都會區靜巷。格局方正3+1書,元/月,中山區新生北路二段,25.0575174,121.5274311,GEOMETRIC_CENTER,578.9938575,中山國小,223.1218414,中原公園
4740025,0,8,14500,0,"depart,advstore,market,night,park,school,hospital","tv,icebox,cold,washer,hotwater,four,broadband,cook,balcony_1,bed,wardrobe,bookTable,chair",2,,5,獨立套房,台北市,大安區,敦化南路二段11巷<U+2660>超優陽台採光佳獨洗信義安和站3分鐘<U+2660>,<U+2660>超優陽台採光佳獨洗信義安和站3分鐘<U+2660>,元/月,大安區敦化南路二段11巷,25.0325574,121.5501433,GEOMETRIC_CENTER,225.9696869,信義安和,106.3875248,平安公園
